timestamp,value,anomaly_score,label
2014-07-01 00:00:00,10844,0.0,0
2014-07-01 00:30:00,8127,10844.0,0
2014-07-01 01:00:00,6210,8127.0,0
2014-07-01 01:30:00,4656,6210.0,0
2014-07-01 02:00:00,3820,4656.0,0
2014-07-01 02:30:00,2873,3820.0,0
2014-07-01 03:00:00,2369,2873.0,0
2014-07-01 03:30:00,2064,2369.0,0
2014-07-01 04:00:00,2221,2064.0,0
2014-07-01 04:30:00,2158,2221.0,0
2014-07-01 05:00:00,2515,2158.0,0
2014-07-01 05:30:00,4364,2515.0,0
2014-07-01 06:00:00,6526,4364.0,0
2014-07-01 06:30:00,11039,6526.0,0
2014-07-01 07:00:00,13857,11039.0,0
2014-07-01 07:30:00,15865,13857.0,0
2014-07-01 08:00:00,17920,15865.0,0
2014-07-01 08:30:00,20346,17920.0,0
2014-07-01 09:00:00,19539,20346.0,0
2014-07-01 09:30:00,20107,19539.0,0
2014-07-01 10:00:00,18984,20107.0,0
2014-07-01 10:30:00,17720,18984.0,0
2014-07-01 11:00:00,17249,17720.0,0
2014-07-01 11:30:00,18463,17249.0,0
2014-07-01 12:00:00,18908,18463.0,0
2014-07-01 12:30:00,18886,18908.0,0
2014-07-01 13:00:00,18178,18886.0,0
2014-07-01 13:30:00,19459,18178.0,0
2014-07-01 14:00:00,19546,19459.0,0
2014-07-01 14:30:00,20591,19546.0,0
2014-07-01 15:00:00,19380,20591.0,0
2014-07-01 15:30:00,18544,19380.0,0
2014-07-01 16:00:00,16228,18544.0,0
2014-07-01 16:30:00,15013,16228.0,0
2014-07-01 17:00:00,17203,15013.0,0
2014-07-01 17:30:00,19525,17203.0,0
2014-07-01 18:00:00,22966,19525.0,0
2014-07-01 18:30:00,27598,22966.0,0
2014-07-01 19:00:00,26827,27598.0,0
2014-07-01 19:30:00,24904,26827.0,0
2014-07-01 20:00:00,22875,24904.0,0
2014-07-01 20:30:00,20394,22875.0,0
2014-07-01 21:00:00,23401,20394.0,0
